City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Beloha,MG,-25.1667,45.05,61.36,60,100,11.32,overcast clouds
81,Georgetown,MY,5.4112,100.3354,84.88,80,40,8.05,scattered clouds
82,Rio Gallegos,AR,-51.6226,-69.2181,42.06,69,100,27.51,overcast clouds
83,Yaan,NG,7.3833,8.5667,71.4,97,100,5.59,overcast clouds
84,Mumford,GH,5.2618,-0.759,73.58,93,99,9.31,light rain
85,Muttupet,IN,10.4,79.4833,77.41,91,100,7.43,very heavy rain
86,Pitimbu,BR,-7.4706,-34.8086,73.87,80,90,14.88,overcast clouds
87,Lima,PE,-12.0432,-77.0282,60.91,81,64,11.5,broken clouds
88,Walvis Bay,NA,-22.9575,14.5053,57.09,98,75,2.62,broken clouds
89,Aklavik,CA,68.2191,-135.0107,65.14,50,100,4.32,overcast clouds
90,Tezu,IN,27.9167,96.1667,75.78,98,100,1.99,overcast clouds
91,Emerald,AU,-23.5333,148.1667,77.41,44,64,12.82,broken clouds
92,Ribeira Grande,PT,38.5167,-28.7,72.77,83,98,9.08,overcast clouds
93,Todos Santos,MX,23.45,-110.2167,81.66,86,100,3.02,overcast clouds
94,Monterey,US,36.2505,-121.2516,92.17,24,0,10.94,clear sky
95,Dandong,CN,40.1292,124.3947,72.1,70,0,12.5,clear sky
96,Ust-Maya,RU,60.4167,134.5333,46.47,97,100,4.38,light rain
97,El Dorado,US,38.7666,-120.5177,88.32,29,0,2.46,clear sky
98,La Ronge,CA,55.1001,-105.2842,67.21,54,87,2.91,overcast clouds
99,Mjolby,SE,58.326,15.1237,51.51,78,61,3.8,broken clouds
100,Assiniboia,CA,49.6334,-105.9845,82.0,22,0,8.03,clear sky
101,Verkhnevilyuysk,RU,63.4453,120.3167,42.73,83,100,4.14,light rain
102,Yellowknife,CA,62.456,-114.3525,56.89,72,100,9.17,overcast clouds
103,Chokurdakh,RU,70.6333,147.9167,51.13,41,75,5.99,broken clouds
104,Kulhudhuffushi,MV,6.6221,73.07,78.37,83,100,18.01,overcast clouds
105,Simbahan,PH,6.3032,120.5836,82.83,71,100,1.43,overcast clouds
106,Norman Wells,CA,65.282,-126.8329,65.17,51,83,3.0,broken clouds
107,Nabire,ID,-3.3667,135.4833,83.03,76,67,4.34,broken clouds
108,Izberbash,RU,42.5696,47.8645,75.25,51,0,4.92,clear sky
109,Zhangye,CN,38.9342,100.4517,72.95,32,87,7.34,overcast clouds
110,Atuona,PF,-9.8,-139.0333,76.28,78,7,21.61,light rain
111,Labytnangi,RU,66.6572,66.4183,41.05,72,8,4.41,clear sky
112,Tiksi,RU,71.6872,128.8694,43.75,86,100,7.49,overcast clouds
113,Riyadh,SA,24.6877,46.7219,85.5,20,100,5.84,overcast clouds
114,Cape Town,ZA,-33.9258,18.4232,66.61,40,40,11.5,light thunderstorm
115,Leningradskiy,RU,69.3833,178.4167,33.28,99,100,12.86,snow
116,Russell,US,32.3502,-85.1999,82.0,94,0,0.0,clear sky
117,Buchanan,LR,5.8808,-10.0467,74.34,93,100,9.31,moderate rain
118,Codrington,AU,-38.2667,141.9667,57.18,72,81,10.71,broken clouds
