City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Lorengau,PG,86.02,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
15,Mahibadhoo,MV,80.02,overcast clouds,3.7833,72.9667,Omadhoo Inn
21,Hasaki,JP,88.29,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
28,Cabo San Lucas,MX,86.5,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
29,Hami,CN,77.88,overcast clouds,42.8,93.45,Laoyutang Resort
31,Victoria,HK,89.33,broken clouds,22.2855,114.1577,Mini Central
35,Butaritari,KI,82.26,clear sky,3.0707,172.7902,Isles Sunset Lodge
36,Aitape,PG,82.62,broken clouds,-3.1374,142.3475,
37,Matara,LK,76.44,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
42,Jimo,CN,77.41,clear sky,36.3897,120.4622,Thank Inn Chain Hotel Shandong Jimo Bus Station
45,Beaverlodge,CA,78.91,broken clouds,55.2166,-119.4361,Side Trax Inn
46,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
50,Melilla,ES,79.18,clear sky,35.2937,-2.9383,Hotel Anfora
60,Houma,US,84.99,overcast clouds,29.5958,-90.7195,Courtyard by Marriott Houma
61,Celestun,MX,79.59,scattered clouds,20.8667,-90.4,Posada Lilia
64,Katsuura,JP,84.22,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
65,Dong Hoi,VN,86.83,clear sky,17.4833,106.6,Nam Long Hotel
66,Tiarei,PF,82.42,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
68,Suluq,LY,77.09,clear sky,31.6682,20.2521,ورشة الحضيري لاكترونات وخدمات النت
76,Nizwa,OM,80.28,clear sky,22.9333,57.5333,Orient Apartments
77,Kota Kinabalu,MY,82.38,few clouds,5.9749,116.0724,Gaya Centre Hotel
78,Isangel,VU,76.96,broken clouds,-19.55,169.2667,Tanna Lodge
79,Naze,JP,86.92,few clouds,28.3667,129.4833,Shishime Hotel
81,Georgetown,MY,84.88,scattered clouds,5.4112,100.3354,Cititel Penang
85,Muttupet,IN,77.41,very heavy rain,10.4,79.4833,Hotel Star Residency
90,Tezu,IN,75.78,overcast clouds,27.9167,96.1667,Circuit House
91,Emerald,AU,77.41,broken clouds,-23.5333,148.1667,The Irish Village
93,Todos Santos,MX,81.66,overcast clouds,23.45,-110.2167,Hotel California Todos Santos
97,El Dorado,US,88.32,clear sky,38.7666,-120.5177,South Fork Group Campground
100,Assiniboia,CA,82.0,clear sky,49.6334,-105.9845,Canalta Hotel Assiniboia
104,Kulhudhuffushi,MV,78.37,overcast clouds,6.6221,73.07,Haajy Guest House 1
105,Simbahan,PH,82.83,overcast clouds,6.3032,120.5836,
107,Nabire,ID,83.03,broken clouds,-3.3667,135.4833,Hotel Nusantara I
